	Wales	UK	Scotland	England
JAN	149.875925925926	113.951851851852	87.4666666666666	53.9657407407408
FEB	110.447222222222	83.712037037037	115.077777777778	74.9481481481481
MAR	100.230555555556	79.0435185185185	160.583177570094	86.9560747663552
APR	82.5194444444444	68.0953703703704	113.975925925926	61.1305555555556
MAY	85.1361111111111	69.5833333333333	156.977777777778	82.2027777777778
JUN	83.2259259259259	69.6370370370371	102.00462962963	67.5296296296296
JUL	97.5953703703703	82.4555555555555	83.912037037037	58.1861111111112
AUG	113.926851851852	92.6388888888889	107.80462962963	58.2981481481482
SEP	114.090740740741	91.8166666666666	83.5796296296297	58.3898148148148
OCT	145.734259259259	112.452777777778	152.090740740741	87.0787037037037
NOV	153.725	115.082407407408	153.853703703704	82.2842592592593
DEC	160.083177570094	118.876635514019	123.869444444444	68.6981481481482
SUM	1396.5905849775	1097.34607995846	1441.19614053306	839.668111803393
